2021-05-21 22:26:51,932 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=496, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55709), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:27:25,043 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:27:25,048 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625245.0485349, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:27:25,061 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test2') 
2021-05-21 22:27:25,061 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test3') 
2021-05-21 22:27:25,066 - DEBUG -  messenger.client - Log: make_presence_message(('test3', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625245.066487, 'type': 'status', 'user': {'client_name': 'test3', 'status': 'I am here!'}} 
2021-05-21 22:27:25,067 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55711), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625245.0485349, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:27:25,067 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:27:25,067 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:27:25,068 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:27:25,068 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:27:25,068 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:27:25,068 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55712), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625245.066487, 'type': 'status', 'user': {'client_name': 'test2', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:27:25,068 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55713), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625245.066487, 'type': 'status', 'user': {'client_name': 'test3', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:27:25,069 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test2 
2021-05-21 22:27:25,069 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test3 
2021-05-21 22:27:25,069 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:27:25,069 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:27:25,069 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:27:25,069 - DEBUG -  messenger.client - Запущены процессы 
2021-05-21 22:27:25,070 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:27:25,070 - DEBUG -  messenger.client - Log: cmd_help((),{}) = None 
2021-05-21 22:27:25,291 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:27:25,291 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:27:39,940 - DEBUG -  messenger.client - Log: attach_to_group_message(('test2',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625259.9404118, 'group': "'ded'", 'from': 'test2'} 
2021-05-21 22:27:39,956 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:27:46,380 - DEBUG -  messenger.client - Log: attach_to_group_message(('test3',),{'group': "'ded'"}) = {'action': 'attach', 'time': 1621625266.380032, 'group': "'ded'", 'from': 'test3'} 
2021-05-21 22:27:46,543 - DEBUG -  messenger.client - Получен ответ сервера 200 
2021-05-21 22:27:56,944 - DEBUG -  messenger.client - Log: make_msg_message(('test2', "'g'"),{'group': "'ded'"}) = {'action': 'msg', 'time': 1621625276.9444838, 'to': '#', 'group': "'ded'", 'from': 'test2', 'encoding': 'utf-8', 'message': "'g'"} 
2021-05-21 22:27:57,001 - DEBUG -  messenger.client - Получен ответ сервера 200 
=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55711), raddr=('127.0.0.1', 7777)>, 'test1'),{}) = None 
2021-05-21 22:27:57,002 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=464, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55713), raddr=('127.0.0.1', 7777)>, 'test3'),{}) = None 
2021-05-21 22:27:57,205 - DEBUG -  messenger.client - Log: user_output((<socket.socket fd=432, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55712), raddr=('127.0.0.1', 7777)>, 'test2'),{}) = None 
2021-05-21 22:28:31,484 - DEBUG -  messenger.client - Log: parse_args((),{}) = ('localhost', 7777, 'test1') 
2021-05-21 22:28:31,488 - DEBUG -  messenger.client - Log: make_presence_message(('test1', 'I am here!'),{}) = {'action': 'presence', 'time': 1621625311.4880338, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}} 
2021-05-21 22:28:31,489 - DEBUG -  messenger.client - Log: send_message_take_answer((<socket.socket fd=484, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 55720), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1621625311.4880338, 'type': 'status', 'user': {'client_name': 'test1', 'status': 'I am here!'}}),{}) = {'response': 200} 
2021-05-21 22:28:31,489 - INFO -  messenger.client - Запущен клиент с парамертами: адрес сервера: localhost, порт: 7777, имя пользователя: test1 
2021-05-21 22:28:31,489 - INFO -  messenger.client - Установлено соединение с сервером. Ответ сервера: {'response': 200} 
2021-05-21 22:28:31,490 - DEBUG -  messenger.client - Запущены процессы 
